accepted_pixels,agreement_mean,conflict_pixels,original_frame_id,phase,propagation_conflict_pixels,propagation_geometry_conflict_pixels,seed_count,static_drawer_overlap_pixels,static_positive_pixels,union_pixels
0,0.0,0,86,closed,,,0,,0,
0,0.0,0,87,closed,,,0,,0,
0,0.0,0,88,closed,,,0,,0,
0,0.0,0,89,closed,,,0,,0,
0,0.0,0,90,closed,,,0,,0,
0,0.0,0,91,closed,,,0,,0,
0,0.0,0,92,closed,,,0,,0,
0,0.0,0,93,closed,,,0,,0,
0,0.0,0,94,closed,,,0,,0,
0,0.0,0,95,closed,,,0,,0,
0,0.0,0,96,closed,,,0,,0,
0,0.0,0,97,closed,,,0,,0,
0,0.0,0,98,closed,,,0,,0,
0,0.0,0,99,closed,,,0,,0,
0,0.0,0,100,closed,,,0,,0,
0,0.0,0,101,closed,,,0,,0,
0,0.0,0,102,closed,,,0,,0,
0,0.0,0,103,closed,,,0,,0,
0,0.0,0,104,closed,,,0,,0,
0,0.0,0,105,closed,,,0,,0,
0,0.0,0,106,closed,,,0,,0,
0,0.0,0,107,closed,,,0,,0,
0,0.0,0,108,closed,,,0,,0,
0,0.0,0,109,closed,,,0,,0,
0,0.0,0,110,closed,,,0,,0,
0,0.0,0,111,closed,,,0,,0,
0,0.0,0,112,closed,,,0,,0,
0,0.0,0,113,closed,,,0,,0,
0,0.0,0,114,closed,,,0,,0,
0,0.0,0,115,closed,,,0,,0,
0,0.0,0,116,closed,,,0,,0,
0,0.0,0,117,closed,,,0,,0,
0,0.0,0,118,closed,,,0,,0,
0,0.0,0,119,closed,,,0,,0,
0,0.0,0,120,closed,,,0,,0,
0,0.0,0,121,closed,,,0,,0,
0,0.0,0,122,closed,,,0,,0,
0,0.0,0,123,closed,,,0,,0,
0,0.0,0,124,closed,,,0,,0,
0,0.0,0,125,closed,,,0,,0,
0,0.0,0,126,closed,,,0,,0,
0,0.0,0,127,closed,,,0,,0,
0,0.0,0,128,closed,,,0,,0,
0,0.0,0,129,closed,,,0,,0,
0,0.0,0,130,closed,,,0,,0,
0,0.0,0,131,closed,,,0,,0,
0,0.0,0,132,closed,,,0,,0,
0,0.0,0,133,closed,,,0,,0,
0,0.0,0,134,closed,,,0,,0,
0,0.0,0,135,closed,,,0,,0,
0,0.0,0,136,closed,,,0,,0,
0,0.0,0,137,closed,,,0,,0,
0,0.0,0,138,closed,,,0,,0,
0,0.0,0,139,closed,,,0,,0,
0,0.0,0,140,closed,,,0,,0,
0,0.0,0,141,closed,,,0,,0,
0,0.0,0,142,closed,,,0,,0,
0,0.0,0,143,closed,,,0,,0,
0,0.0,0,144,closed,,,0,,0,
0,0.0,0,145,closed,,,0,,0,
0,0.0,0,146,closed,,,0,,0,
0,0.0,0,147,closed,,,0,,0,
0,0.0,0,148,closed,,,0,,0,
0,0.0,0,149,closed,,,0,,0,
0,0.0,0,150,closed,,,0,,0,
0,0.0,0,151,closed,,,0,,0,
0,0.0,0,152,closed,,,0,,0,
0,0.0,0,153,closed,,,0,,0,
0,0.0,0,154,closed,,,0,,0,
0,0.0,0,155,closed,,,0,,0,
0,0.0,0,156,closed,,,0,,0,
0,0.0,0,157,closed,,,0,,0,
0,0.0,0,158,closed,,,0,,0,
0,0.0,0,159,closed,,,0,,0,
0,0.0,0,160,closed,,,0,,0,
0,0.0,0,161,closed,,,0,,0,
0,0.0,0,162,closed,,,0,,0,
0,0.0,0,163,closed,,,0,,0,
0,0.0,0,164,closed,,,0,,0,
0,0.0,0,165,closed,,,0,,0,
322,0.9113821138211383,2,220,open,,,5,,0,324
289,0.8986193293885602,15,221,open,,,5,,0,304
339,0.8944,22,222,open,,,5,,0,361
221,0.9023758099352052,10,223,open,,,5,,0,231
0,0.8991379310344827,0,224,open,,,5,,0,0
0,0.8693586698337292,0,225,open,,,5,,0,0
0,0.912468193384224,0,226,open,,,5,,0,0
0,0.9047858942065492,0,227,open,,,5,,0,0
0,0.9274559193954661,0,228,open,,,5,,0,0
0,0.9355742296918768,0,229,open,,,5,,0,0
0,0.8644257703081232,0,230,open,,,5,,0,0
0,0.9136842105263159,0,231,open,,,5,,0,0
0,0.9131147540983606,0,232,open,,,5,,0,0
0,0.8160804020100503,0,233,open,,,5,,0,0
0,0.9391752577319589,0,234,open,,,5,,0,0
0,0.9340206185567013,0,235,open,,,5,,0,0
0,0.9177057356608479,0,236,open,,,5,,0,0
0,0.907035175879397,0,237,open,,,5,,0,0
0,0.9305912596401028,0,238,open,,,5,,0,0
0,0.9058823529411766,0,239,open,,,5,,0,0
0,0.9232,0,240,open,,,5,,0,0
0,0.9061538461538461,0,241,open,,,5,,0,0
0,0.91978021978022,0,242,open,,,5,,0,0
0,0.8985835694050993,0,243,open,,,5,,0,0
0,0.9041666666666668,0,244,open,,,5,,0,0
0,0.9142857142857144,0,245,open,,,5,,0,0
0,0.9046575342465755,0,246,open,,,5,,0,0
0,0.8753333333333334,0,247,open,,,5,,0,0
0,0.8826666666666667,0,248,open,,,5,,0,0
0,0.9003636363636364,0,249,open,,,5,,0,0
0,0.9197231833910033,0,250,open,,,5,,0,0
0,0.8918367346938775,0,251,open,,,5,,0,0
0,0.9174887892376683,0,252,open,,,5,,0,0
0,0.88,0,253,open,,,5,,0,0
0,0.9133333333333334,0,254,open,,,5,,0,0
0,0.9333333333333332,0,255,open,,,5,,0,0
0,0.9403141361256546,0,256,open,,,5,,0,0
0,0.9606741573033708,0,257,open,,,5,,0,0
0,0.9572327044025156,0,258,open,,,5,,0,0
0,0.9507936507936509,0,259,open,,,5,,0,0
0,0.9398230088495575,0,260,open,,,5,,0,0
0,0.9490196078431371,0,261,open,,,5,,0,0
0,0.9323529411764705,0,262,open,,,5,,0,0
0,0.0,0,263,open,,,5,,0,0
0,0.0,0,264,open,,,5,,0,0
0,0.0,0,265,open,,,5,,0,0
0,0.0,0,266,open,,,5,,0,0
0,0.0,0,267,open,,,5,,0,0
0,0.0,0,268,open,,,5,,0,0
0,0.0,0,269,open,,,5,,0,0
0,0.0,0,270,open,,,5,,0,0
0,0.0,0,271,open,,,5,,0,0
0,0.0,0,272,open,,,5,,0,0
0,0.0,0,273,open,,,5,,0,0
0,0.0,0,274,open,,,5,,0,0
0,0.0,0,275,open,,,5,,0,0
0,0.0,0,276,open,,,5,,0,0
0,0.0,0,277,open,,,5,,0,0
0,0.0,0,278,open,,,5,,0,0
0,0.0,0,279,open,,,5,,0,0
0,0.0,0,280,open,,,5,,0,0
0,0.0,0,281,open,,,5,,0,0
0,0.0,0,282,open,,,5,,0,0
0,0.0,0,283,open,,,5,,0,0
0,0.0,0,284,open,,,5,,0,0
0,0.0,0,285,open,,,5,,0,0
0,0.0,0,286,open,,,5,,0,0
0,0.0,0,287,open,,,5,,0,0
0,0.0,0,288,open,,,5,,0,0
0,0.0,0,289,open,,,5,,0,0
0,0.0,0,290,open,,,5,,0,0
0,0.0,0,291,open,,,5,,0,0
0,0.0,0,292,open,,,5,,0,0
0,0.0,0,293,open,,,5,,0,0
0,0.0,0,294,open,,,5,,0,0
0,0.0,0,295,open,,,5,,0,0
0,0.0,0,296,open,,,5,,0,0
0,0.0,0,297,open,,,5,,0,0
0,0.0,0,298,open,,,5,,0,0
0,0.0,0,299,open,,,5,,0,0
0,0.0,0,300,open,,,5,,0,0
0,0.0,0,301,open,,,5,,0,0
0,0.0,0,302,open,,,5,,0,0
0,0.0,0,303,open,,,5,,0,0
0,0.0,0,304,open,,,5,,0,0
0,0.0,0,305,open,,,5,,0,0
0,0.0,0,306,open,,,5,,0,0
0,0.0,0,307,open,,,5,,0,0
0,0.0,0,308,open,,,5,,0,0
0,0.0,0,309,open,,,5,,0,0
0,0.0,0,310,open,,,5,,0,0
0,0.0,0,311,open,,,5,,0,0
0,0.0,0,312,open,,,5,,0,0
0,0.0,0,313,open,,,5,,0,0
0,0.0,0,314,open,,,5,,0,0
0,0.0,0,315,open,,,5,,0,0
0,0.0,0,316,open,,,5,,0,0
0,0.0,0,317,open,,,5,,0,0
0,0.0,0,318,open,,,5,,0,0
0,0.0,0,319,open,,,5,,0,0
0,0.0,0,320,open,,,5,,0,0
0,0.0,0,321,open,,,5,,0,0
0,0.0,0,322,open,,,5,,0,0
0,0.0,0,323,open,,,5,,0,0
0,0.0,0,324,open,,,5,,0,0
0,0.0,0,325,open,,,5,,0,0
0,0.0,0,326,open,,,5,,0,0
0,0.0,0,327,open,,,5,,0,0
0,0.0,0,328,open,,,5,,0,0
0,0.0,0,329,open,,,5,,0,0
0,0.0,0,330,open,,,5,,0,0
0,0.0,0,331,open,,,5,,0,0
0,0.0,0,332,open,,,5,,0,0
0,0.0,0,333,open,,,5,,0,0
0,0.0,0,334,open,,,5,,0,0
0,0.0,0,335,open,,,5,,0,0
0,0.0,0,336,open,,,5,,0,0
0,0.0,0,337,open,,,5,,0,0
0,0.0,0,338,open,,,5,,0,0
0,0.0,0,339,open,,,5,,0,0
0,0.0,0,340,open,,,5,,0,0
0,0.0,0,341,open,,,5,,0,0
0,0.0,0,342,open,,,5,,0,0
0,0.0,0,343,open,,,5,,0,0
0,0.0,0,344,open,,,5,,0,0
0,0.0,0,345,open,,,5,,0,0
0,0.0,0,346,open,,,5,,0,0
0,0.0,0,347,open,,,5,,0,0
0,0.0,0,348,open,,,5,,0,0
0,0.0,0,349,open,,,5,,0,0
0,0.0,0,350,open,,,5,,0,0
0,0.0,0,351,open,,,5,,0,0
0,0.0,0,352,open,,,5,,0,0
0,0.0,0,353,open,,,5,,0,0
0,0.0,0,354,open,,,5,,0,0
0,0.0,0,355,open,,,5,,0,0
0,0.0,0,356,open,,,5,,0,0
0,0.0,0,357,open,,,5,,0,0
0,0.0,0,358,open,,,5,,0,0
0,0.0,0,359,open,,,5,,0,0
0,0.0,0,360,open,,,5,,0,0
